Part Lister output for Daedalus_Digital_Board
Generated on Friday, May 06, 2022
	#   	QTY 	Part Number     	Description                               	Value	Ref Designator 	
	    	    	                	                                          	     	R136-R138,R140,	
	    	    	                	                                          	     	R141,R197,R198,	
	    	    	                	                                          	     	R216,R217,     	
	    	    	                	                                          	     	R220-R222      	
	 53 	 40 	0402 Resistor   	                                          	DNF  	R10,R11,R71,   	
	    	    	                	                                          	     	R80,R86,R94,   	
	    	    	                	                                          	     	R107-R120,     	
	    	    	                	                                          	     	R123-R126,R175,	
	    	    	                	                                          	     	R194-R196,R199,	
	    	    	                	                                          	     	R227,R228,R234,	
	    	    	                	                                          	     	R241-R244,R247,	
	    	    	                	                                          	     	R250,R253,R256 	
	 54 	 7  	0402 Resistor   	                                          	49R9 	R37,R102-R105, 	
	    	    	                	                                          	     	R121,R122      	
	 55 	 23 	0402 Resistor   	                                          	240  	R42,R55,R146,  	
	    	    	                	                                          	     	R156,R158,R160,	
	    	    	                	                                          	     	R162,R164,R166,	
	    	    	                	                                          	     	R168,R186,     	
	    	    	                	                                          	     	R201-R207,R214,	
	    	    	                	                                          	     	R215,R224,R225,	
	    	    	                	                                          	     	R235           	
	 56 	 12 	0402 Resistor   	                                          	270  	R43,R106,R147, 	
	    	    	                	                                          	     	R157,R159,R161,	
	    	    	                	                                          	     	R163,R165,R167,	
	    	    	                	                                          	     	R169,R185,R188 	
	 57 	 19 	0402 Resistor   	                                          	0    	R44-R47,R83,   	
	    	    	                	                                          	     	R91,R100,      	
	    	    	                	                                          	     	R238-R240,R246,	
	    	    	                	                                          	     	R249,R252,R255,	
	    	    	                	                                          	     	R260-R264      	
	 58 	 9  	0402 Resistor   	                                          	1K   	R48,R75,R77,   	
	    	    	                	                                          	     	R174,R190-R193,	
	    	    	                	                                          	     	R265           	
	 59 	 2  	0402 Resistor   	                                          	22K1 	R49,R266       	
	 60 	 2  	0402 Resistor   	                                          	47K5 	R50,R267       	
	 61 	 12 	0402 Resistor   	                                          	4K7  	R51,R176,      	
	    	    	                	                                          	     	R178-R180,     	
	    	    	                	                                          	     	R182-R184,R187,	
	    	    	                	                                          	     	R200,R219,R254 	
	 62 	 2  	0402 Resistor   	                                          	200R 	R52,R53        	
	 63 	 1  	0402 Resistor   	                                          	100R 	R54            	
	 64 	 1  	0402 Resistor   	                                          	2K   	R56            	
	 65 	 1  	0402 Resistor   	                                          	84K5 	R57            	
	 66 	 2  	0402 Resistor   	                                          	150K 	R58,R59        	
	 67 	 2  	0402 Resistor   	                                          	23K2 	R60,R72        	
	 68 	 1  	0402 Resistor   	                                          	2R   	R61            	
	 69 	 4  	0402 Resistor   	                                          	22K  	R62,R63,R69,R70	
	 70 	 2  	0402 Resistor   	                                          	1K5  	R64,R73        	
	 71 	 2  	0402 Resistor   	                                          	20K  	R65,R259       	
	 72 	 1  	0402 Resistor   	                                          	10K5 	R67            	
	 73 	 3  	0402 Resistor   	                                          	18K  	R68,R90,R93    	
	 74 	 7  	0402 Resistor   	                                          	100K 	R74,R97,R101,  	
	    	    	                	                                          	     	R245,R248,R251,	
	    	    	                	                                          	     	R257           	
	 75 	 1  	0402 Resistor   	                                          	5K6  	R79            	
	 76 	 7  	0402 Resistor   	                                          	12K  	R81,R84,       	
	    	    	                	                                          	     	R87-R89,R92,   	
	    	    	                	                                          	     	R258           	
	 77 	 2  	0402 Resistor   	                                          	16K9 	R82,R85        	
	 78 	 2  	0402 Resistor   	                                          	56K  	R96,R139       	
	 79 	 1  	0402 Resistor   	                                          	9K   	R98            	
	 80 	 2  	0402 Resistor   	                                          	36K  	R99,R135       	
	 81 	 2  	0402 Resistor   	                                          	1R   	R127,R128      	
	 82 	 1  	0402 Resistor   	                                          	4K02 	R132           	
	 83 	 1  	0402 Resistor   	                                          	31K6 	R133           	
	 84 	 1  	0402 Resistor   	                                          	10K2 	R134           	
	 85 	 2  	0402 Resistor   	                                          	2K4  	R177,R181      	
	 86 	 1  	0402 Resistor   	                                          	0R   	R189           	
	 87 	 1  	0402 Resistor   	                                          	3K48 	R218           	
	 88 	 2  	Molex 105017-000	                                          	     	SK2,SK7        	
	    	    	1               	                                          	     	               	
	 89 	 2  	TE_5-1814400-2  	                                          	     	SK3,SK4        	
	 90 	 2  	MCX-J-P-H-ST-SM1	                                          	     	SK5,SK6        	
	 91 	 49 	Star Point      	                                          	     	SP1-SP49       	
	 92 	 4  	B3F-1020        	                                          	     	SW1-SW4        	
	 93 	 1  	Si2300DS        	                                          	     	TR1            	
	 94 	 2  	BSC030N03MS     	                                          	     	TR2,TR3        	
	 95 	 2  	BSC059N04LS     	                                          	     	TR4,TR5        	
	 96 	 2  	CP2102N-A02-GQFN	                                          	     	U1,U11         	
	    	    	20              	                                          	     	               	
	 97 	 1  	XCKU040-2FFVA115	                                          	     	U2             	
	    	    	6E              	                                          	     	               	
	 98 	 3  	FIN1104MTC      	                                          	     	U3-U5          	
	 99 	 2  	AD9680BCPZ-500  	                                          	     	U6,U7          	
	100 	 1  	AD9528          	                                          	     	U8             	
	101 	 1  	AD9152BCPZ      	                                          	     	U10            	
	102 	 1  	SN74AVC4T245RSVR	                                          	     	U13            	
	103 	 2  	MT25QU256ABA8ESF	                                          	     	U14,U15        	
	    	    	-0SIT           	                                          	     	               	
	104 	 1  	MAX4036EXK+T    	                                          	     	U16            	
	105 	 3  	ADP2303ARDZ     	                                          	     	VR1-VR3        	
	106 	 7  	ADP1741ACPZ     	                                          	     	VR4-VR10       	
	107 	 1  	ADP1850ACPZ     	                                          	     	VR11           	
	108 	 1  	CCPD-575X-50-100	                                          	     	X1             	
	    	    	.000            	                                          	     	               	
	109 	 1  	ASE-25.000MHZ-LC	                                          	     	X2             	
	    	    	-T              	                                          	     	               	
